TF	Gene	Interaction
IHF	b2762	1
IHF	b3114	1
IHF	b2730	1
IHF	b1305	1
IHF	b4117	1
IHF	b1396	1
IHF	b1307	1
IHF	b0720	1
IHF	b3726	1
IHF	b4028	1
IHF	b3542	1
IHF	b3543	1
IHF	b2724	1
IHF	b1224	1
IHF	b1225	1
IHF	b2975	1
IHF	b3541	1
IHF	b3261	1
IHF	b0904	1
IHF	b1226	1
IHF	b1227	1
IHF	b1223	1
IHF	b4027	1
IHF	b1683	1
IHF	b1682	1
IHF	b3727	1
IHF	b2731	1
IHF	b1684	1
IHF	b3113	1
IHF	b1679	1
IHF	b3540	1
IHF	b0903	1
IHF	b3725	1
IHF	b1306	1
IHF	b4026	1
IHF	b1388	1
IHF	b3544	1
IHF	b0124	1
IHF	b1308	1
IHF	b3260	1
IHF	b1393	1
IHF	b1391	1
IHF	b1387	1
IHF	b1680	1
IHF	b1394	1
IHF	b1390	1
IHF	b1395	1
IHF	b3213	1
IHF	b3724	1
IHF	b1398	1
IHF	b3214	1
IHF	b4029	1
IHF	b1389	1
IHF	b1392	1
IHF	b1397	1
IHF	b3212	1
IHF	b3461	1
SOXS	b2159	1
SOXS	b1277	1
SOXS	b0684	1
SOXS	b3908	1
SOXS	b1611	1
SOXS	b0851	1
SOXS	b0853	1
SOXS	b0850	1
SOXS	b1852	1
SOXS	b0683	1
SOXS	b0852	1
SOXS	b0951	1
SOXS	b0950	1
OXYR	b1683	1
OXYR	b1681	1
OXYR	b1684	1
OXYR	b1682	1
OXYR	b1680	1
OXYR	b0849	1
OXYR	b1679	1
OXYR	b0606	1
OXYR	b3518	1
OXYR	b3942	1
OXYR	b0605	1
OXYR	b2582	1
OXYR	b0683	1
OXYR	b0475	1
METR	b3829	1
METR	b2551	1
METR	b4019	1
PSPF	b1304	1
PSPF	b1305	1
PSPF	b1306	1
PSPF	b1308	1
PSPF	b1307	1
PSPF	b4050	1
MALT	b4035	1
MALT	b4036	1
MALT	b4034	1
MALT	b4037	1
MALT	b4032	1
MALT	b4033	1
MALT	b3417	1
MALT	b3416	1
MALT	b3571	1
CAIF	b0041	1
CAIF	b0038	1
CAIF	b0040	1
CAIF	b0043	1
CAIF	b0044	1
CAIF	b0042	1
CAIF	b0039	1
CAIF	b0037	1
CAIF	b0035	1
CAIF	b0036	1
CYSB	b2424	1
CYSB	b2425	1
CYSB	b2752	1
CYSB	b2751	1
CYSB	b2750	1
CYSB	b2414	1
CYSB	b0365	1
CYSB	b1987	1
CYSB	b0366	1
CYSB	b2422	1
CYSB	b2421	1
CYSB	b2423	1
CYSB	b0368	1
CYSB	b0367	1
RCSAB	b1481	1
RCSAB	b1951	1
RCSAB	b1482	1
RCSAB	b1480	1
RCSAB	b0094	1
RCSAB	b2060	1
RCSAB	b0095	1
RCSAB	b2059	1
RCSAB	b2062	1
RCSAB	b2061	1
RCSAB	b2058	1
OMPR	b1040	1
OMPR	b1039	1
OMPR	b2215	1
OMPR	b1038	1
OMPR	b1037	1
OMPR	b1634	1
MODE	b2203	1
MODE	b2208	1
MODE	b2205	1
MODE	b2207	1
MODE	b2204	1
MODE	b2723	1
MODE	b2206	1
MODE	b2720	1
MODE	b2725	1
MODE	b2202	1
MODE	b2721	1
MODE	b0782	1
MODE	b2722	1
MODE	b2719	1
MODE	b2724	1
MODE	b2718	1
MODE	b0781	1
MODE	b0785	1
MODE	b2198	1
MODE	b0783	1
MODE	b2197	1
MODE	b0784	1
MODE	b2717	1
MODE	b2199	1
MODE	b2196	1
MODE	b2201	1
MODE	b2200	1
MODE	b2195	1
MODE	b2194	1
MODE	b1222	1
MODE	b1221	1
TYRR	b3161	1
DCUR	b4152	1
DCUR	b4153	1
DCUR	b4154	1
DCUR	b4151	1
DCUR	b4122	1
DCUR	b3528	1
DCUR	b4123	1
FNR	b1223	1
FNR	b3365	1
FNR	b3366	1
FNR	b1224	1
FNR	b1225	1
FNR	b3367	1
FNR	b1226	1
FNR	b0903	1
FNR	b1227	1
FNR	b0904	1
FNR	b2957	1
FNR	b3518	1
FNR	b0873	1
FNR	b4071	1
FNR	b4070	1
FNR	b4072	1
FNR	b1182	1
FNR	b0895	1
FNR	b0894	1
FNR	b4074	1
FNR	b3479	1
FNR	b3476	1
FNR	b3480	1
FNR	b3478	1
FNR	b0896	1
FNR	b3477	1
FNR	b3481	1
FNR	b4122	1
FNR	b4073	1
FNR	b3368	1
FNR	b4075	1
FNR	b0872	1
FNR	b2208	1
FNR	b2203	1
FNR	b2202	1
FNR	b2206	1
FNR	b2207	1
FNR	b2204	1
FNR	b2198	1
FNR	b2205	1
FNR	b2201	1
FNR	b2197	1
FNR	b2199	1
FNR	b4076	1
FNR	b4152	1
FNR	b4153	1
FNR	b4151	1
FNR	b4154	1
FNR	b2200	1
FNR	b2727	1
FNR	b2729	1
FNR	b2728	1
FNR	b2730	1
FNR	b2196	1
FNR	b0034	1
FNR	b2731	1
FNR	b2194	1
FNR	b2195	1
LRP	b0077	1
LRP	b2903	1
LRP	b2905	1
LRP	b2904	1
LRP	b0078	1
LRP	b3616	1
LRP	b3617	1
LRP	b0908	1
LRP	b0907	1
LRP	b0929	1
LRP	b2663	1
LRP	b4316	1
LRP	b4314	1
LRP	b4315	1
LRP	b2659	1
LRP	b3213	1
LRP	b3212	1
